City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
62,chuy,-33.6971,-53.4616,29.56,41,3,4.01,UY,1675789415
63,yuancheng,36.652,107.7896,1.58,45,100,3.39,CN,1675789830
64,bengkulu,-3.8004,102.2655,24.94,86,96,3.66,ID,1675789559
65,mount isa,-20.7333,139.5,25.87,83,86,3.09,AU,1675789720
66,point fortin,10.1833,-61.6833,29.38,76,81,4.18,TT,1675789832
67,viedma,-40.8135,-62.9967,33.55,21,0,2.29,AR,1675789833
68,chiojdu,45.35,26.2,-7.43,83,91,2.18,RO,1675789833
69,roberval,48.5168,-72.2324,-5.31,67,81,3.97,CA,1675789827
70,cap malheureux,-19.9842,57.6142,27.48,75,18,4.47,MU,1675789835
71,hobart,-42.8794,147.3294,13.92,68,100,3.09,AU,1675789256
72,sabha,27.0377,14.4283,17.24,28,97,4.43,LY,1675789563
73,kutum,14.2,24.6667,20.72,18,36,5.26,SD,1675789836
74,jamestown,42.097,-79.2353,8.08,52,0,6.69,US,1675789158
75,tangkak,2.2673,102.5453,23.55,92,99,2.39,MY,1675789836
76,los llanos de aridane,28.6585,-17.9182,16.86,71,75,6.69,ES,1675789734
77,puerto ayora,-0.7393,-90.3518,29.98,88,25,4.47,EC,1675789449
78,keti bandar,24.1447,67.4497,22.53,57,11,3.39,PK,1675789837
79,bubaque,11.2833,-15.8333,24.6,64,38,6.62,GW,1675789690
80,east london,-33.0153,27.9116,23.52,88,20,3.6,ZA,1675789444
81,kodiak,57.79,-152.4072,-2.27,69,0,4.63,US,1675789468
82,ninghai,29.2892,121.4247,8.76,88,94,1.62,CN,1675789838
83,chokurdakh,70.6333,147.9167,-40.85,100,99,1.67,RU,1675789492
84,soyo,-6.1349,12.3689,27.33,80,64,5.22,AO,1675789839
85,eyl,7.9803,49.8164,24.13,76,19,6.51,SO,1675789839
86,susaki,33.3667,133.2833,8.5,88,52,2.17,JP,1675789839
87,cherskiy,68.75,161.3,-35.75,98,100,2.26,RU,1675789603
88,beringovskiy,63.05,179.3167,-28.03,95,100,3.42,RU,1675789602
89,wang saphung,17.301,101.7685,25.42,62,24,1.59,TH,1675789840
90,cidreira,-30.1811,-50.2056,26.51,62,2,4.47,BR,1675789556
91,broome,42.2506,-75.833,4.7,63,0,5.81,US,1675789841
92,hervey bay,-25.2986,152.8535,25.11,64,21,6.4,AU,1675789842
93,denpasar,-8.65,115.2167,26.81,83,40,6.69,ID,1675789842
94,manyana,-23.4,21.7167,19.16,88,100,4.13,BW,1675789842
95,jishou,28.3167,109.7167,7.9,95,96,1.5,CN,1675789843
96,tres lagoas,-20.7511,-51.6783,24.03,87,100,3.36,BR,1675789843
97,slave lake,55.2834,-114.769,-0.69,85,46,3.73,CA,1675789844
98,ribeira grande,38.5167,-28.7,14.32,54,75,8.23,PT,1675789594
99,irtyshskiy,58.3333,68.1333,-22.9,100,88,1.66,RU,1675789844
100,rikitea,-23.1203,-134.9692,26.04,73,44,5.38,PF,1675789401
101,lompoc,34.6391,-120.4579,15.43,68,0,2.14,US,1675789636
102,severo-kurilsk,50.6789,156.125,-5.26,67,80,6.15,RU,1675789438
103,caibarien,22.5206,-79.4669,23.62,66,62,9.25,CU,1675789845
104,pyinmana,19.7333,96.2167,18.25,30,4,1.41,MM,1675789845
105,belawan,3.7755,98.6832,24.97,90,91,2.19,ID,1675789846
106,paradise,36.0972,-115.1467,10.51,32,0,8.23,US,1675789600
